id,name
1499944,Abbey Manor Developments Ltd
3872790,Netnames Brand Protection Limited
4338458,Dynamite Baits Limited
610771,Shepherd and Woodward Limited
1393723,Blakemore Property Ltd
2239584,Coventry Sports Foundation
2700833,Grainseed Limited
242734,Goymour Properties Limited
1728962,La Leisure Limited
1489004,Dimerco Express (UK) Limited
2209595,Tba Leicester Limited
3592271,Telecommunications Management Limited
2908076,Blakeway Productions Limited
4336209,Itaya Europe Limited
4582950,Debut Services (South West) Limited
4977435,The Met Hotel Leeds Limited
5039035,Crepeaffaire Limited
6035820,Sheffield Theatres Crucible Trust
6039967,Landmark Surveyors Ltd
3218896,Greycoat Placements Limited
3536370,The Cambridge Arts Theatre Trust Limited
5904432,Alexis Care Limited
5388143,Talan Consulting UK Limited
6057996,M.K.M. Building Supplies (Hartlepool) Limited
2505606,Rookman Properties Limited
2997274,Sewell Facilities Management Limited
3270912,Sm-Cyclo UK Limited
3662801,Windmill Care Limited
2784764,Pacific Manufacturing (UK) Limited
2198233,Havencare (South West) Limited
2380151,Anheddau CYF
3223499,Newsquest (Sussex) Limited
4985958,Rbssaf (2) Limited
5702754,Iic Peterborough Holding Company Limited
5763603,Eurosail 2006-2BL PLC
3797068,Milsco Manufacturing LTD.
4479882,Ziv Automation UK Ltd
3367515,Royal School For The Deaf Derby
407689,Aeg Power Solutions LTD.
483626,Middleton Sheet Metal Co.Limited
4327215,Kinder Haven Limited
1516961,Vrtl (Holdings) Limited
4487221,City & Country Estates Ltd
4838498,Global One-Pak Limited
2162215,Seascope Holdings Ltd
3065139,LHR Business Support Centre Limited
3057067,Ashton Lodge Limited
1146473,Romi Machines UK Limited
1340785,Ge Transportation Systems Ltd
1923744,Newhaven Port & Properties Limited
1751466,Leicestershire Independent Educational Trust
763197,Clancy Developments Limited
3322714,Fintech Advisory Limited
2978531,City Natural Resources High Yield Trust PLC
1113101,Tyneside Cinema
5901745,Enterprisemanchester Partnership Limited
6061091,Vantage Motorhomes Limited
4434716,Elephant and Castle Properties Limited
3470047,Wicke UK Limited
3832368,Ph Associates Limited
3854371,Tbl (Bury) Limited
910924,Chesham Preparatory School Trust Limited
2396001,Japan Green Medical Centre Limited
4813840,Active IQ Limited
2255660,IBG Immucor Limited
2866642,Northern Gas Processing Limited
193144,Bible Churchmens Missionary Trust Limited
4752419,R J Holland Limited
5400020,Geomerics Limited
3260432,Liss Systems Limited
2013380,Maryland Securities Limited
2686607,Sam Hagan Leisure (UK) Limited
2441908,Warsop Motor Company Limited
4236191,Greater London Fostering Limited
4253400,LF Real Estate Partners International UK Limited
5500642,Fanhams Hall Hotel Limited
